text,images,videos,gender
বাংলাপিডিয়া বলতেছে ১৯৮৭ তালে প্রথম তেল তোলা হইছিলো হরিপুর থেকে।,[],[],M
"Sharliz recited a Bangla poem in a program by Bangladeshi Students Association in SIU Carbondale, IL last week.",[],['https://www.facebook.com/shujon/videos/1106951564046973/?__cft__[0]=AZUQNXg6IAZ37IxGdsnd-S7NEkuH9KafQw03a-7HQXs6QVbv8-sbeRJuldLICSW1m1ix7E7vYGUeKCgrsStdj_NKhOK5HCsH1b0iQ3REJq4Kmro1FODzm4Apco1iPK8gwJsKrkG7OhWyaUutFW5aCPQkJ72322D1VJqmMUbUAIw0gA&__tn__=%2B%3FFH-R'],M
"Imagine, what would be the common topic, When researchers from different fields sit together?",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/415510829_10162153745317871_2117512383726375619_n.jpg?stp=cp6_dst-jpg_p180x540_q85&_nc_cat=110&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=AxZueoYoifMAX-ubkMV&_nc_ht=scontent-ord5-2.xx&oh=00_AfCIbDBf_-0bkR5hnzShDdixVjQTZl3BUpqJNvHJPb62Cg&oe=65D5E228'],[],M
বাংলাপিডিয়া বলতেছে ১৯৮৭ তালে প্রথম তেল তোলা হইছিলো হরিপুর থেকে।,[],[],M
"Sharliz recited a Bangla poem in a program by Bangladeshi Students Association in SIU Carbondale, IL last week.",[],['https://www.facebook.com/shujon/videos/1106951564046973/?__cft__[0]=AZUQNXg6IAZ37IxGdsnd-S7NEkuH9KafQw03a-7HQXs6QVbv8-sbeRJuldLICSW1m1ix7E7vYGUeKCgrsStdj_NKhOK5HCsH1b0iQ3REJq4Kmro1FODzm4Apco1iPK8gwJsKrkG7OhWyaUutFW5aCPQkJ72322D1VJqmMUbUAIw0gA&__tn__=%2B%3FFH-R'],M
#fallcolor রঙের আগুন পোহাই।,['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/396723655_10162034277587871_3682567918973684523_n.jpg?stp=cp6_dst-jpg_p180x540&_nc_cat=100&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=Sc4RQOkP_DAAX9dU5F_&_nc_ht=scontent-ord5-2.xx&oh=00_AfDJuVvOZ6pQWazfquHKzWs9y-T_j5zXq24kF46vDZFZNg&oe=65D59B69'],[],M
Judges panel remarks on my research paper,[],['https://www.facebook.com/shujon/videos/188894180893967/?__cft__[0]=AZUAvuGAoF3zUejVZ2EuqkeeZbunzCU5n2qlWuRacNpQojg5qvuWaPqRc3ObTs0xQzUcb4e4B22VBZt-KwQdJENGx3ChBSMqobrZZR7Lx4f9a09RyrF1NDaITCI5RD-8CqCwOCBoD9W50WPgqT-7yIue1V8fOjxWidMGl1hWDqkWGf_QwZlROn4U6XnpUBju57k&__tn__=%2B%3FFH-R'],M
"Sharliz recited a Bangla poem in a program by Bangladeshi Students Association in SIU Carbondale, IL last week.",[],['https://www.facebook.com/shujon/videos/1106951564046973/?__cft__[0]=AZUQNXg6IAZ37IxGdsnd-S7NEkuH9KafQw03a-7HQXs6QVbv8-sbeRJuldLICSW1m1ix7E7vYGUeKCgrsStdj_NKhOK5HCsH1b0iQ3REJq4Kmro1FODzm4Apco1iPK8gwJsKrkG7OhWyaUutFW5aCPQkJ72322D1VJqmMUbUAIw0gA&__tn__=%2B%3FFH-R'],M
#fallcolor রঙের আগুন পোহাই।,['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/396723655_10162034277587871_3682567918973684523_n.jpg?stp=cp6_dst-jpg_p180x540&_nc_cat=100&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=Sc4RQOkP_DAAX9dU5F_&_nc_ht=scontent-ord5-2.xx&oh=00_AfDJuVvOZ6pQWazfquHKzWs9y-T_j5zXq24kF46vDZFZNg&oe=65D59B69'],[],M
Judges panel remarks on my research paper,[],['https://www.facebook.com/shujon/videos/188894180893967/?__cft__[0]=AZUAvuGAoF3zUejVZ2EuqkeeZbunzCU5n2qlWuRacNpQojg5qvuWaPqRc3ObTs0xQzUcb4e4B22VBZt-KwQdJENGx3ChBSMqobrZZR7Lx4f9a09RyrF1NDaITCI5RD-8CqCwOCBoD9W50WPgqT-7yIue1V8fOjxWidMGl1hWDqkWGf_QwZlROn4U6XnpUBju57k&__tn__=%2B%3FFH-R'],M
Alhamdulillah. My research paper has been awarded the “Top Paper” at Global Fusion Conference.,"['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/380334093_10161948233237871_935330611583671005_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=xBhltzi2qhgAX-1f7Fa&_nc_ht=scontent-ord5-2.xx&oh=00_AfA7b34pd5qoKcaZbrS39x99APd41LPIh2KULpUcnEeCKw&oe=65D5C977', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/382467840_10161948218992871_1501268906889416812_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=qH6x1Xs8DZkAX8WWLTK&_nc_ht=scontent-ord5-2.xx&oh=00_AfCX9sRpP6Wl0QpTx1BI2UfVFdwDE-b8R38ZJubUGT2E4A&oe=65D5FD38', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/382222212_10161948233252871_7871230975229324607_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=2YbQy0BV3m4AX8yZSY0&_nc_ht=scontent-ord5-2.xx&oh=00_AfD4VvR1ecQLPnPo7vGelMhn0E2fwggzPYF95wexmkeyjw&oe=65D519E9', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/382217363_10161948233292871_5542857969922183032_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=RfR8SyzXm54AX8rn0er&_nc_ht=scontent-ord5-2.xx&oh=00_AfApAsUdbSHKJls_u7v42LtEmyBMfMHhANT2Ls-NZTn7LA&oe=65D60F25', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/380818146_10161948233412871_1367545494986547623_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=CvGLSmzQWawAX_4L74G&_nc_ht=scontent-ord5-2.xx&oh=00_AfCw_3RnlgfR7el85isaFNesGkb7Mh2WuXrc92XiTvJDpw&oe=65D5E892']",[],M
"Heading to Austin, Texas #globalfusion2023 conference",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/380998158_10161943249252871_777253699318796536_n.jpg?stp=cp6_dst-jpg_p180x540&_nc_cat=102&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=b4gVRBnWMyYAX9fXbwo&_nc_ht=scontent-ord5-2.xx&oh=00_AfBLSy_3DSUyQbKZXkDsD54RfvoqVWgETUoyV0GQ9J_ZLQ&oe=65D5CB67'],[],M
"Great Analysis indeed. Generally we can’t know behind the story of making a communication strategy. However, nothing is secret now. Question is, when a strategy gets caught, what they do next?",[],['https://www.facebook.com/shahedalambd/videos/123697937472632/?__cft__[0]=AZWB2ZIVazWVRWjrYlxk1kKtYzQlwX01FJbK1_Efl4Xf2OHYiiLLg3ZHNZ8NOYEceKp9Rq2xjAulq0RokOLx8ho4vX68eBMRKkdL97J5aoqMPTdy9Um2r9IgjK_KJEEvgpWidF1p3BCAVrZnn5UBkFdOG-eaf1ZX6Z9cjSb5iiKBi6TlrhTIqLBqFA_NLqJO6wqTVgA0TLwC0JDNvR8dojXi&__tn__=%2B%3FFH-y-R'],M
Judges panel remarks on my research paper,[],['https://www.facebook.com/shujon/videos/188894180893967/?__cft__[0]=AZUAvuGAoF3zUejVZ2EuqkeeZbunzCU5n2qlWuRacNpQojg5qvuWaPqRc3ObTs0xQzUcb4e4B22VBZt-KwQdJENGx3ChBSMqobrZZR7Lx4f9a09RyrF1NDaITCI5RD-8CqCwOCBoD9W50WPgqT-7yIue1V8fOjxWidMGl1hWDqkWGf_QwZlROn4U6XnpUBju57k&__tn__=%2B%3FFH-R'],M
Alhamdulillah. My research paper has been awarded the “Top Paper” at Global Fusion Conference.,"['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/380334093_10161948233237871_935330611583671005_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=xBhltzi2qhgAX-1f7Fa&_nc_ht=scontent-ord5-2.xx&oh=00_AfA7b34pd5qoKcaZbrS39x99APd41LPIh2KULpUcnEeCKw&oe=65D5C977', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/382467840_10161948218992871_1501268906889416812_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=qH6x1Xs8DZkAX8WWLTK&_nc_ht=scontent-ord5-2.xx&oh=00_AfCX9sRpP6Wl0QpTx1BI2UfVFdwDE-b8R38ZJubUGT2E4A&oe=65D5FD38', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/382222212_10161948233252871_7871230975229324607_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=2YbQy0BV3m4AX8yZSY0&_nc_ht=scontent-ord5-2.xx&oh=00_AfD4VvR1ecQLPnPo7vGelMhn0E2fwggzPYF95wexmkeyjw&oe=65D519E9', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/382217363_10161948233292871_5542857969922183032_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=RfR8SyzXm54AX8rn0er&_nc_ht=scontent-ord5-2.xx&oh=00_AfApAsUdbSHKJls_u7v42LtEmyBMfMHhANT2Ls-NZTn7LA&oe=65D60F25', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/380818146_10161948233412871_1367545494986547623_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=CvGLSmzQWawAX_4L74G&_nc_ht=scontent-ord5-2.xx&oh=00_AfCw_3RnlgfR7el85isaFNesGkb7Mh2WuXrc92XiTvJDpw&oe=65D5E892']",[],M
"Heading to Austin, Texas #globalfusion2023 conference",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/380998158_10161943249252871_777253699318796536_n.jpg?stp=cp6_dst-jpg_p180x540&_nc_cat=102&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=b4gVRBnWMyYAX9fXbwo&_nc_ht=scontent-ord5-2.xx&oh=00_AfBLSy_3DSUyQbKZXkDsD54RfvoqVWgETUoyV0GQ9J_ZLQ&oe=65D5CB67'],[],M
"Great Analysis indeed. Generally we can’t know behind the story of making a communication strategy. However, nothing is secret now. Question is, when a strategy gets caught, what they do next?",[],['https://www.facebook.com/shahedalambd/videos/123697937472632/?__cft__[0]=AZWB2ZIVazWVRWjrYlxk1kKtYzQlwX01FJbK1_Efl4Xf2OHYiiLLg3ZHNZ8NOYEceKp9Rq2xjAulq0RokOLx8ho4vX68eBMRKkdL97J5aoqMPTdy9Um2r9IgjK_KJEEvgpWidF1p3BCAVrZnn5UBkFdOG-eaf1ZX6Z9cjSb5iiKBi6TlrhTIqLBqFA_NLqJO6wqTVgA0TLwC0JDNvR8dojXi&__tn__=%2B%3FFH-y-R'],M
"আন্তর্জাতিক বেশকিছু মিডিয়া রিপোর্ট করেছে বাংলাদেশের নির্বাচনের আগে সরকারের নীতির প্রশংসা করে ফেক উৎস থেকে আর্টিকেল ছাড়া হয়েছে এবং বাংলাদেশের পত্রপত্রিকায় ব্যপকভাবে প্রকাশিত হয়েছে। যোগাযোগের ভাষায় যাকে ""প্রোপাগান্ডা"" বলে। প্রোপাগান্ডা অতিরঞ্জিত বা মিথ্যা হয়। মিথ্যা প্রোপাগান্ডা বেশিরভাগ সময় ধরা খায়। 
RAND Corporation পৃথিবীর অন্যতম বড় পলিসি থিঙ্কট্যাঙ্ক। তারা নানা বিষয়ে গবেষণা করে। তাদের একজন গবেষকের নাম Christopher Paul তিনি মিডিয়া, স্ট্যাটেজিক কম্যুনিকেশন, ফেক-নিউজ ইত্যাদি … See more",[],[],M
Still a student!,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/375759287_10161906569207871_6012681438841263024_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=106&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=glg4o7G01r8AX9Qpak0&_nc_ht=scontent-ord5-1.xx&oh=00_AfD3-spV_JkB78DBJxz6l5u8deyFH3JafyOkFUBqxyWT2w&oe=65D54442'],[],M
An incident in Bangladesh has received international media attention. Powerful media NBC News questioned on rule of law of Bangladesh.,[],[],M
Still a student!,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/375759287_10161906569207871_6012681438841263024_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=106&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=glg4o7G01r8AX9Qpak0&_nc_ht=scontent-ord5-1.xx&oh=00_AfD3-spV_JkB78DBJxz6l5u8deyFH3JafyOkFUBqxyWT2w&oe=65D54442'],[],M
An incident in Bangladesh has received international media attention. Powerful media NBC News questioned on rule of law of Bangladesh.,[],[],M
A glimpse of a Ph.D. level classroom in a North American University.  (Please look at the diversity of the classroom),['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/343936447_918351429279604_8420923152468971998_n.jpg?stp=dst-jpg_p180x540&_nc_cat=106&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=UK38JDZLUDgAX9kmwlf&_nc_ht=scontent-ord5-1.xx&oh=00_AfDqGQ51wDs2BBpjWvK9LMoQLFqcn6ViluHngkolyiXJqw&oe=65D47FCD'],[],M
Images from inbox! Thanks Syeda Jahirin Asir Faisal,"['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/362699247_10161834261472871_4780457111435737262_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=ANtYGoQGjqEAX9LxAv3&_nc_ht=scontent-ord5-1.xx&oh=00_AfBdBGid0uACo7M91OOs1J5Z4_kKtQPWtCdjqxJhVUrWKg&oe=65D56F14', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/365039583_10161834261502871_4430781821822785841_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=f96qUgNcrTQAX8nUiLB&_nc_ht=scontent-ord5-1.xx&oh=00_AfD8viLkdGgRYRFoJXCyItumy9c_sxmJYGNyVilMXvsoaw&oe=65D47ABE']",['https://www.facebook.com/738937870/videos/pcb.10161834261327871/825496652278042?__cft__[0]=AZUI6mQmHhuNzuPfJt0FgDBEKf0tPTt2cD4Sn-a_BXb6ZAUaoMLSSPgw0cNh5M3LH_G-1twxP8tZk2slaQpwhwHAz-6jvUZYrwXfe5yhTNehaNyBqYx6zpW2hhuwGe0aBh5zT7MCGsYIbwo3cwMXJJvCOKsM7Lrnmpyqizv9HLybY4QeEHypVpzOv8fNiRu28SM&__tn__=*bH-R'],M
When I was a broadcast journalist as well as young looks.,"['https://scontent-ord5-2.xx.fbcdn.net/v/t1.18169-9/11752486_10153532426262871_3399869406421702224_n.jpg?stp=dst-jpg_p480x480&_nc_cat=105&ccb=1-7&_nc_sid=7f8c78&_nc_ohc=chpVpcEkdMoAX8tyZ5z&_nc_ht=scontent-ord5-2.xx&oh=00_AfDY1bEbOgHOS3cNCSGMkd96PgoIdDz-MJIjQ1PyMBshFQ&oe=65F7C8B3', 'https://scontent-ord5-2.xx.fbcdn.net/v/t1.18169-9/11010287_10153532426482871_8916549893405604654_n.jpg?stp=dst-jpg_p480x480&_nc_cat=105&ccb=1-7&_nc_sid=7f8c78&_nc_ohc=azEbQyjOk5gAX-_ZO4V&_nc_ht=scontent-ord5-2.xx&oh=00_AfC4VjUNQyPj6nyoUX5oZ9RXdTPRcoMkVTz_cJJku433vg&oe=65F7E93A', 'https://scontent-ord5-1.xx.fbcdn.net/v/t1.18169-9/11705255_10153532426682871_2287057778391308520_n.jpg?stp=dst-jpg_p480x480&_nc_cat=101&ccb=1-7&_nc_sid=7f8c78&_nc_ohc=G9ree8YY4-8AX_6no-s&_nc_ht=scontent-ord5-1.xx&oh=00_AfDup9rJLpYEClJMItdSxpWbW9o2NFa8C7S2WPSXxPnEVA&oe=65F7C27F']",[],M
Standstill town in the summer,['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/359823478_10161788871022871_4568475927021174918_n.jpg?stp=cp6_dst-jpg_p180x540&_nc_cat=100&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=UsHiQY7h-B4AX8wwLPf&_nc_ht=scontent-ord5-2.xx&oh=00_AfBG0MenWw2qrs3fmdKcUKsT-3Ewf73CIxyh3m0hzek0eg&oe=65D4D876'],[],M
ডিজিটাল রাজনীতি ধারণকারী জাতির এক মেধাবী সন্তান!,[],[],M
Images from inbox! Thanks Syeda Jahirin Asir Faisal,"['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/362699247_10161834261472871_4780457111435737262_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=ANtYGoQGjqEAX9LxAv3&_nc_ht=scontent-ord5-1.xx&oh=00_AfBdBGid0uACo7M91OOs1J5Z4_kKtQPWtCdjqxJhVUrWKg&oe=65D56F14', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/365039583_10161834261502871_4430781821822785841_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=f96qUgNcrTQAX8nUiLB&_nc_ht=scontent-ord5-1.xx&oh=00_AfD8viLkdGgRYRFoJXCyItumy9c_sxmJYGNyVilMXvsoaw&oe=65D47ABE']",['https://www.facebook.com/738937870/videos/pcb.10161834261327871/825496652278042?__cft__[0]=AZUI6mQmHhuNzuPfJt0FgDBEKf0tPTt2cD4Sn-a_BXb6ZAUaoMLSSPgw0cNh5M3LH_G-1twxP8tZk2slaQpwhwHAz-6jvUZYrwXfe5yhTNehaNyBqYx6zpW2hhuwGe0aBh5zT7MCGsYIbwo3cwMXJJvCOKsM7Lrnmpyqizv9HLybY4QeEHypVpzOv8fNiRu28SM&__tn__=*bH-R'],M
When I was a broadcast journalist as well as young looks.,"['https://scontent-ord5-2.xx.fbcdn.net/v/t1.18169-9/11752486_10153532426262871_3399869406421702224_n.jpg?stp=dst-jpg_p480x480&_nc_cat=105&ccb=1-7&_nc_sid=7f8c78&_nc_ohc=chpVpcEkdMoAX8tyZ5z&_nc_ht=scontent-ord5-2.xx&oh=00_AfDY1bEbOgHOS3cNCSGMkd96PgoIdDz-MJIjQ1PyMBshFQ&oe=65F7C8B3', 'https://scontent-ord5-2.xx.fbcdn.net/v/t1.18169-9/11010287_10153532426482871_8916549893405604654_n.jpg?stp=dst-jpg_p480x480&_nc_cat=105&ccb=1-7&_nc_sid=7f8c78&_nc_ohc=azEbQyjOk5gAX-_ZO4V&_nc_ht=scontent-ord5-2.xx&oh=00_AfC4VjUNQyPj6nyoUX5oZ9RXdTPRcoMkVTz_cJJku433vg&oe=65F7E93A', 'https://scontent-ord5-1.xx.fbcdn.net/v/t1.18169-9/11705255_10153532426682871_2287057778391308520_n.jpg?stp=dst-jpg_p480x480&_nc_cat=101&ccb=1-7&_nc_sid=7f8c78&_nc_ohc=G9ree8YY4-8AX_6no-s&_nc_ht=scontent-ord5-1.xx&oh=00_AfDup9rJLpYEClJMItdSxpWbW9o2NFa8C7S2WPSXxPnEVA&oe=65F7C27F']",[],M
Standstill town in the summer,['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/359823478_10161788871022871_4568475927021174918_n.jpg?stp=cp6_dst-jpg_p180x540&_nc_cat=100&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=UsHiQY7h-B4AX8wwLPf&_nc_ht=scontent-ord5-2.xx&oh=00_AfBG0MenWw2qrs3fmdKcUKsT-3Ewf73CIxyh3m0hzek0eg&oe=65D4D876'],[],M
ডিজিটাল রাজনীতি ধারণকারী জাতির এক মেধাবী সন্তান!,[],[],M
"দুনিয়া কি উল্টাইয়া গেল, নাকি সবাই ফ্রুটিকা খাচ্ছে",[],[],M
"মার্ক জাকারবার্গের ""থ্রেডস"" নাকি ইলন মাস্কের ""টুইটার"" এর ভাত মেরে দেবে। টুইটারের চেয়ে বেশি শব্দ ও লম্বা ভিডিও পোস্ট করার সুযোগ দেবে ""থ্রেডস""।  যাদের ইনস্টাগ্রাম আছে তারা সেই একাউন্ট থেকেই থ্রেডস এ লগইন করতে পারবেন।",[],[],M
